Diluição,IMZ SERUM M0,IMZ SERUM M0,IMZ SERUM M1,IMZ SERUM M1,IMZ SERUM M2,IMZ SERUM M2,IMZ SERUM M3,IMZ SERUM M3,PRE SERUM,PRE SERUM,BSA IMZ M1,BSA IMZ M1,BSA IMZ M2,BSA IMZ M2,BSA IMZ M3,BSA IMZ M3,BSA PRE,BSA PRE
1:25,"5,955","5,3615","2,209","2,277","1,929","1,962","4,5649","4,5884","0,1512","0,1705","0,2945","0,3216","0,4354","0,4331","0,3098","0,2931","0,1874","0,2151"
1:75,"5,955","5,955","1,104","0,9863","1,136","1,055","3,856","3,802",,,,,,,,,,
1:225,"4,772","4,5154","0,4213","0,3932","0,5352","0,5077","2,878","3,034",,,,,,,,,,
1:675,"2,083","2,228","0,1874","0,2627","0,271","0,2874","1,857","1,623",,,,,,,,,,
1:2025,"1,078","1,033","0,1729","0,1449","0,189","0,2443","0,8142","0,814",,,,,,,,,,
1:6075,"0,3877","0,3919","0,0737","0,0962","0,124","0,1163","0,3435","0,3993",,,,,,,,,,
1:18225,"0,0941","0,1013","0,0158","0,0131","0,0645","0,0678","0,1301","0,1101",,,,,,,,,,
1:54675,"0,0459","0,0535","0,0336","0,0171","0,0158","0,2003","0,0289","0,0295",,,,,,,,,,
1:164025,"0,0356","0,0451","0,0256","0,0206","0,0201","0,0131","0,0098","0,0139",,,,,,,,,,
1:492075,"0,0084","0,0126","0,0041","-0,0005","0,0049","0,0022","0,004","0,0019",,,,,,,,,,
1:1476225,"0,0293","0,0176","-0,0016","-0,003","0,0088","0,0087","-0,0029","0,0153",,,,,,,,,,
1:4428675,"0,0399","0,033","0,0133","-0,0049","0,0017","-0,0027","-0,002","0,0179",,,,,,,,,,