country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nicaragua,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,145k,16.6k,960,2500,19k,23.5k,35k,52.6k,67.5k,68.5k,86.6k,97.7k,52.6k,46.8k,44.3k,33.1k,28.6k,23.9k,22.8k,22.5k,21.4k,20.6k,18.2k,17.6k,14k,10.8k,8070,5890,4130,2720,2000,1900,1580,1600,1650,2040,2300,2710,3530,4190,33.9k,71.2k,70.8k,175k,237k
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,86,97,77,57,29,146,92,119,128,160,195,79,66,71,69,73,103,97,84,103,119,74,103,132,157,134,151,159
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,12,0,5,0,5,0,10,10,20,15,15,25,40,16,16,20,28,26
Nepal,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,44,49,95,178,671,850,1510,1960,2720,4480,5080,5500,6280,6900,7040,8850,10.1k,11.9k,15.2k,18k,19.9k,21.6k,17.7k,18k,17.8k,18.4k,19k
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,21,21,21
New Zealand,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,12,17,13,9,11,19,25,21,27,23,43,61,48,61,67,102,78
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,8,8,8,8,11,10,24,5,16,10,37,49,55,68,68,58,62,20,34,52,59,61,70,101,117,124,133
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,274,409,485,523,1090,1420,4430,5280,7500,5980,6860,8010,17.3k,20.3k,34.5k,41.2k,41.7k,46.3k,32.4k,40.4k,38.6k,39.9k,60k,49.6k,73.5k,96.2k,380k,362k,173k,206k,208k,203k,195k,190k,181k
Panama,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,365,629,640,652,677,486,158,146,123,86,73,120,108,152,118,108,100,90,134,142,143,145,129,138,126,111,121,114,162,185,285,385,630,866
Peru,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,255,473,727,1970,4330,5900,6700,6610,7070,7210,9380,9250,10k,8350,6870,6500,8900,10.8k,9830,12.1k,10.6k,5990,5540,5460,5360,5120,4890,6090,7470,11.4k,13.4k,12.6k,18.3k
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,0,0,90k,92k,90k,90k,90k,90k,100k,100k,90k,90k,90k,90k,90k,11,15,45,111,435,515,599,526,45.6k,45.5k,47.3k,47.3k,47.6k,2240,1410,1330,1680,2300,2250,1780,1610,1300,1360,1590,1780,2470,3550,8530,4330,5290,5460,6050,6090
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,0,0,5,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2010,806,216,6,6,6,17,18,12,37,33,51,54,79,130,172,255,365,498,533,662,778,869,1020,1160,1140,1150
Poland,,,,,,,,,,,,,,,,,,,,150,150,140,100,70,60,50,0,50,0,471,505,775,761,994,1660,1100,1480,23.3k,23.1k,25.6k,21.6k,14.5k,13.4k,35.9k,19.7k,12.9k,7290,1880,1240,1410,4070,17.5k,16.1k,11.3k,20.2k,13.9k,3100,2610,2300,1910,2160,1960,1700,1570,1700,1720,1910,2000,1980,1960,1940,1980
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,5,10,65,66,326,347,408,354,489,834,1090,1000,1180,1600,2150,2100,1510,1320,1950,1760,943,870,777,636,399
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,218,213,21,16,97,160,611,446,255,196,70,70,68,76,89,96,81,67,64,92,101,187,265,363,387,465,561
Paraguay,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,10,15,64,51,45,19,16,20,36,28,70,84,76,73,139,143,129,107,110,113,124,119,121,155,185,252,351,716,987,1230,1240
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,1.05M,1.07M,1.11M,1.14M,1.17M,1.19M,1.23M,1.26M,1.29M,1.36M,1.42M,1.41M,1.45M,1.5M,1.54M,1.66M,1.77M,1.88M,2M,2.09M,2.18M,2.24M,2.3M,2.39M,2.49M,2.79M,2.92M,2.9M,2.95M,3.01M,3.04M,3.11M,3.18M,2.98M,2.95M,3M,3.07M,3.13M,3.2M,3.24M,3.29M,3.34M,3.39M,3.42M,3.47M,3.51M,3.53M
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,30,17,18,21,6,31,29,40,28,10,11,53,57,69,71,116,100,128,15,28,33,48,70,63,72,71,82,94
Romania,,,,,,,,,,,,,,,,,,,,100,60,90,90,70,70,0,0,60,0,772,854,1160,1210,962,2200,1020,1890,20.2k,46k,51.3k,27.2k,25.1k,23.6k,22.3k,17k,11.9k,8960,10.9k,8560,9810,8860,11.1k,10.5k,7380,12.6k,8550,5860,5130,4760,4230,3890,3410,3480,2930,3110,3720,4470,5410,5260,5060,5870,7520
Russia,,,,,,,,,,,,,,120,0,18k,0,0,0,170,160,150,110,80,70,60,50,50,0,10.8k,11.6k,11.6k,11.6k,11.6k,11.6k,10.2k,8680,33.6k,68.5k,118k,156k,214k,243k,251k,207k,174k,198k,173k,28.3k,50.9k,59.8k,111k,117k,121k,117k,178k,111k,119k,123k,122k,122k,126k,100k,94.7k,94.5k,98.1k,100k,105k,111k,97.1k,112k,125k
Rwanda,,,,,,,,,,,147k,147k,154k,166k,156k,160k,160k,160k,145k,142k,142k,154k,164k,178k,176k,176k,170k,175k,177k,287k,277k,328k,322k,357k,377k,372k,353k,328k,320k,361k,431k,435k,450k,2.26M,1.82M,469k,68k,77.7k,88.9k,144k,110k,86.3k,85.4k,69.1k,116k,102k,89.2k,78.6k,134k,126k,116k,108k,92.4k,89.4k,297k,298k,272k,261k,262k,262k,272k,271k
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,180,261,244,358,362,233,118,176,209,331,295,211,651,767,733,672,734,836,952,767,996,1250,1920,2470,2930,3130,3250,3710,3550
Sudan,,,,,,,,,,,,,13k,20.3k,81.6k,115k,121k,176k,170k,173k,171k,128k,13.1k,11.8k,11k,10.6k,10.8k,10.8k,10.8k,10.8k,5350,5350,31k,180k,181k,133k,253k,347k,439k,524k,196k,268k,394k,405k,445k,475k,365k,390k,485k,513k,510k,523k,613k,743k,707k,703k,542k,437k,385k,411k,531k,590k,677k,702k,670k,701k,747k,792k,807k,858k,900k,927k
Senegal,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15k,60k,25.1k,15.5k,22.6k,25.6k,17.6k,17.6k,17.2k,9710,11.6k,12k,9790,12.8k,9180,9870,10.5k,16.4k,16.8k,16.8k,16.9k,17.8k,18.6k,21.4k,24.5k,31.8k,35.6k,39.4k,51.8k,35.6k,32.5k,29.8k,32.6k,32.6k
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,8,8,18,20,21,24,38,34,60,55,51,57,119,131,119,89,84,83,89,91,86,95,85,103,116,127,111,134,128
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,57,56,60,76,71,37,63,69,51,65,75,77,65,70,90,108,150,163,178,261,304,352,490
Sierra Leone,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,143k,254k,311k,275k,379k,375k,329k,406k,490k,410k,188k,149k,77.5k,49.9k,46.4k,48.5k,36.8k,35.1k,18.3k,12.7k,9190,8500,7700,8140,8390,9350,10.7k,12.3k,12.6k,14.1k,12.3k,12.8k
El Salvador,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,91.6k,305k,242k,245k,243k,181k,172k,168k,166k,39.6k,30k,33k,30.9k,26.1k,30.7k,23.5k,19.6k,17.1k,12.6k,12.4k,184k,172k,158k,134k,96.3k,49.5k,35.2k,24.6k,16.3k,14.8k,6520,8360,9820,20.9k,29k,46.2k,81.8k,131k,152k,178k,195k,205k,207k
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,0,5,0,0,5,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,110,50,60,90,90,134,34,118,39,639,1830,3140,60.2k,352k,360k,470k,733k,812k,575k,631k,639k,637k,608k,558k,525k,488k,456k,446k,417k,410k,426k,486k,474k,582k,699k,793k,1.11M,1.17M,1.16M,1.16M,1.18M,1.07M,1.04M,1.01M,955k,866k,836k,856k
Serbia,,,,,,,,,,,,,,,0,0,0,0,130,150,140,130,130,120,120,0,0,4200,0,270,214,177,157,91,91,72,42,99,96,1750,45.8k,90.1k,58.3k,55k,86.1k,104k,107k,115k,173k,196k,195k,346k,311k,247k,208k,193k,180k,201k,208k,199k,177k,176k,71.3k,91.3k,91.9k,58.6k,46.1k,42.1k,38.7k,37.1k,38.4k,36.5k
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,106k,145k,620k,783k,1.44M,2.45M,2.3M,2.24M,2.19M,2.37M,2.37M
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,0,0,0,0,0,0,28,32,47,42,39,29,29,35,41,41,36,23,30,32,32,32,32,32,31,31,29,34,39,54,56,57,51,31,25
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,6620,5920,2550,894,915,817,754,663,491,413,382,293,145,100,75,47,85,71,61,56,34,27,32,34,63,68,41,61,79,89,163,140,159
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,24,57,69,143,178,1010,863,1300,1070,830,988,1020,443,462,684,581,809,855,720,643,866,1370,1610,1610,1570,1580,1600,774
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28.4k,14.8k,12.9k,3370,3410,3300,3290,3300,784,881,633,591,173,1770,56,61,51,50,37,44,38,30,31,32,31,29,34,22,27,32
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,37,39,39,30,22,13,42,59,37,85,33,22,30,27,51,41,62,28,28,33,30,32,45,48,43,52,81
Eswatini,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,16,17,29,27,16,20,25,10,16,17,21,85,123,81,82,170,225,249,291,372,361,271,285,321,279,245,225
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,58,67,52,27,553,339,138,32,38,30,37,40,71,50,57,47,66,62,65,54,47,39,30,24,35,39,15,15,15,21,15,14,9
Syria,,,,,,,,,,,,,,,,,,1200,1200,0,0,0,0,0,0,0,0,0,500,500,505,505,526,529,2600,534,20,881,397,2150,3040,4410,5410,7090,8000,8610,8650,8130,6690,9600,8710,23.2k,24.4k,25.2k,23.4k,19.8k,20.5k,21.2k,23.5k,28.2k,34.4k,755k,2.51M,3.97M,5.12M,5.71M,6.46M,6.79M,6.73M,6.81M,6.99M,6.96M
Chad,,,,,,,,,,,,,,,,,,,,1900,1400,1500,1500,0,0,0,0,0,10k,221k,234k,17k,16.7k,181k,212k,170k,147k,131k,126k,185k,72.3k,66.4k,213k,212k,59.7k,58.4k,55k,61.3k,58.8k,57.4k,49.3k,49.8k,54.6k,55.2k,51.5k,39.7k,58.4k,58.4k,57.3k,56.4k,45.7k,43.4k,52.5k,51.5k,18.2k,17.4k,19.4k,15.3k,16.5k,16.6k,19.3k,20.2k
Togo,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,17,105,291k,168k,93.2k,25.6k,7180,3500,3700,5300,6320,13.2k,16.3k,16.3k,58.6k,33.9k,23.8k,17.9k,19.3k,19.3k,20.8k,18.7k,11.8k,11k,10.9k,10.9k,11.9k,11.6k,11.4k,11k,11k,10.3k
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,33,33,135,209,282,268,290,315,352,246,592,450,410,638,3520,2690,2220,890,568,540,550,393,633,1040,1100,1500,2980,3700,3930,3410,3180
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60k,70.1k,57.1k,59k,108k,75.9k,56.4k,45.2k,60.6k,56.5k,63.5k,59.1k,56.9k,54.9k,765,980,681,816,897,975,1110,1260,1560,2240,4130,4990,4890,4650,4680,4440,5450
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,45,2940,3180,1560,1050,314,341,921,995,995,988,835,801,845,811,770,781,833,819,1210,1650,1440,1480,1720,1050,1080,1290,2560
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162k,122k,73.1k,28.6k,132,221,251,259,6,7,7,8,8,14,18,20,24,19,18,22,58,335,379,399
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,27,47,72,49,18,6,19,14,26,26,15,28,50,77,101,84,102,140,202,451,762,844,1010
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,17,20,25,24,141,195,356,327,210,270,309,385,469,510,398,399,425,463,544,564,536,613,628,715,709,793,876
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,7,7,40,61,88,106,208,327,410,703,931,1240,1570,1760,2980,2930,2850,3480,3190,2820,2690,2730,2700,3530,4200,3140,3260,3880,3750,4160,4730,4740,4470,6210,9200
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,70,60,60,0,0,300,540,1040,810,850,1090,150,2760,5510,6450,10.1k,16.8k,28.9k,44.9k,50.4k,47.3k,45k,44k,57.4k,60.4k,206k,194k,180k,182k,239k,231k,223k,156k,154k,147k,144k,77.1k,75.1k,71.6k,81.2k,95.2k,112k,130k,138k,151k,154k
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0,0,0,5,,,,,,,,,,
Tanzania,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,90,300,300,600,300,3000,500,500,500,0,0,2000,5,10,10,13,19,32,62,69,66,59,100,117,1110,1180,3060,4270,5320,6780,1870,4160,4160,1400,1330,1710,1920,2050,1900,2390,1790,2110,2380,2660,2590,2590,2600
Uganda,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,950,2630,2510,3250,8000,8820,88.7k,224k,177k,271k,315k,294k,306k,239k,111k,22k,21.4k,58.8k,39.4k,32.5k,33.4k,31.4k,24.2k,28.3k,55.2k,13.3k,13.9k,33.5k,41.1k,42.4k,38.1k,35.2k,38.5k,23.1k,24.5k,10.7k,8440,7350,7630,8660,11.9k,11.9k,12.7k,11.6k,16.6k,18k,18.7k,19.2k,19.7k,20k
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,133,917,1700,6110,6350,4600,12.2k,22.3k,32.6k,90.1k,97k,92.2k,86.9k,67.2k,28.4k,30.3k,26k,26.4k,26.4k,26.5k,6790,253k,344k,274k,177k,125k,87.8k,56.6k,47k,5.48M
Uruguay,,,,,,,,,,,,,,,,,,,,0,0,0,0,3000,570,1160,0,0,0,24,24,525,25,165,537,47,39,33,203,843,601,431,164,363,263,202,87,72,36,210,356,570,600,205,170,212,224,246,243,234,224,201,166,161,146,126,186,210,326,450,693,668
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,364,243,141,75,50,38,259,330,616,739,717,931,1740,3260,3870,3810,3890,4370,4870,5040,5140,5070,588,2510,3170,3240,2840,2090,2630
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29.1k,142,69.7k,69.1k,51.7k,45.5k,4000,4120,8410,8920,8620,9790,11.2k,7490,8140,8240,10.5k,14.2k,13k,6730,6770,6860,6910,6950,7880,8220,8280,7960,9780
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,13,13,24,36,126,241,591,524,394,632,704,1150,1490,1920,1990,2030,1800,1760,1780,1870,1470,1450,1310,1060,780,552,235
Venezuela,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,135,370,478,558,606,568,554,641,798,1300,2610,3930,5400,6190,6840,7320,7790,7320,8150,8700,9550,12.8k,22.5k,52.6k,157k,3.08M,4.47M,4.88M,5.58M,6.59M
Vietnam,,,,,,,,,,,,,,10k,15k,17k,20k,22k,22k,20k,0,0,0,0,2110,4000,14.4k,124k,397k,347k,313k,325k,328k,328k,327k,327k,326k,440k,457k,496k,498k,517k,528k,539k,544k,518k,477k,435k,405k,372k,357k,376k,364k,351k,360k,376k,330k,330k,340k,340k,339k,338k,316k,317k,318k,334k,341k,340k,325k,326k,328k,26.1k
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14,52,75,158,172,440
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,0,0,0,0,5,0,0,0,11,7,7,9,10,11,42,84,133,165,231
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15k,15k,15k,0,0,0,0,0,100k,70k,77k,77k,5,74,31,37,151,366,1150,1720,1930,2020,2950,2720,2230,2060,1940,1730,1720,1930,2230,2530,2680,3470,4160,4280,5340,26k,34.3k,48.2k,67k,70.8k,67.3k,73.1k,77.7k
South Africa,,,,,,,,,,,,,,,,390,450,740,290,460,850,790,940,1380,1360,2180,2400,3840,7280,24.3k,24.9k,28.4k,34.5k,38.6k,38.1k,33.2k,26.1k,24.9k,17.1k,14.8k,11.2k,9240,9090,1510,492,286,241,184,190,266,309,453,558,803,412,650,582,587,542,584,622,634,776,953,1290,1530,2070,2880,3280,3700,4200,4200
Zambia,,,,,,,,,,,,,,,0,0,0,15k,13k,9000,750,750,750,4000,750,750,0,0,1000,1210,1200,1200,1200,0,0,0,0,0,0,0,0,1990,1570,15,22,39,62,75,86,208,158,256,355,492,624,264,684,681,247,263,416,484,524,602,761,550,424,520,718,727,744,811
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,14.7k,31.2k,76.5k,163k,198k,160,190,0,3200,3760,4250,3230,3830,629,5,5,128,8,14,38,37,36,37,40,40,313,2950,5180,10.6k,19k,28.6k,14k,48.7k,51.6k,23.8k,25.1k,61.7k,63.8k,61.5k,64.9k,78.7k,61.3k,39.2k,32.7k,26.2k,23.2k,21.6k,21.5k
