country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0,0,0,0,0,0,,,,,,1020,1030,20.8k,26.2k,314k,557k,515k,510k,1.01M,1.17M,1.51M,1.7M,1.9M,2.34M,2.84M,3.96M,4.9M,5.02M,5.14M
Angola,0,0,0,0,0,0,112,844,2830,11.4k,17.2k,23k,47.4k,67.2k,87.2k,222k,302k,355k,412k,518k,654k,751k,1.63M,2.32M,5.77M,3.46M,3.75M,4.28M,4.42M,4.56M
Albania,0,0,0,0,0,348,998,1510,2020,2540,3570,10.2k,12.2k,30.3k,75.2k,187k,294k,456k,716k,1.22M,1.33M,1.44M,1.59M,1.66M,1.74M,1.83M,1.92M,2.07M,2.07M,2.01M
Andorra,0,0,0,0,0,0,983,1960,4420,4920,6890,7100,7890,9910,20.5k,29.7k,39.6k,58.6k,58.7k,66.3k,68.4k,67.8k,71.2k,75.9k,76k,75.6k,75.7k,70.5k,70.5k,70.6k
UAE,0,0,0,0,0,2490,9530,88k,194k,443k,740k,868k,985k,1.09M,1.23M,1.84M,2.76M,3.76M,4.47M,5.07M,5.81M,6.98M,7.77M,8.09M,8.33M,8.38M,8.48M,9M,9.48M,9.69M
Argentina,0,0,1000,10k,15k,30k,50k,100k,300k,1.2M,2.6M,3.65M,4.1M,4.54M,6.17M,6.89M,8.22M,10.3M,11.3M,13.8M,18.4M,21.1M,23.3M,25.3M,27.6M,29.3M,30.9M,32.6M,33M,33.3M
Armenia,0,0,0,0,299,1700,3000,3500,4000,30k,39.9k,49.8k,59.5k,138k,147k,157k,167k,177k,181k,442k,719k,920k,1.08M,1.21M,1.59M,1.73M,1.89M,1.91M,1.91M,1.91M
Antigua and Barbuda,0,0,0,0,0,1510,2010,2500,2980,3960,4930,6870,9790,13.7k,19.5k,22k,24.8k,28.6k,32.5k,36.4k,41.4k,46.4k,52.4k,58k,62.7k,65.5k,69k,72.5k,73.2k,73.8k
Australia,99.2k,189k,308k,348k,397k,497k,596k,3.01M,5.73M,7.66M,8.88M,10.1M,10.2M,10.3M,10.5M,12.7M,13.5M,14.5M,15.3M,16.2M,16.8M,17.9M,18.1M,19.4M,19.8M,20.2M,21M,21.3M,21.5M,21.8M
Austria,10.1k,20.1k,50.3k,60.4k,111k,151k,554k,766k,1.24M,1.86M,2.72M,3.17M,2.97M,3.49M,4.46M,4.79M,5.27M,5.77M,6.08M,6.15M,6.32M,6.66M,6.8M,6.9M,6.98M,7.28M,7.38M,7.76M,7.8M,7.86M
Azerbaijan,0,0,0,0,110,160,499,2000,3000,7990,12k,25k,414k,418k,422k,686k,1.03M,1.27M,1.51M,2.45M,4.15M,4.57M,5.02M,6.85M,7.13M,7.41M,7.61M,7.78M,7.94M,8.02M
Burundi,0,0,0,0,0,0,49,489,980,2460,4930,6920,7930,13.9k,24.9k,39.9k,50k,55k,65.8k,75.6k,86.8k,99.4k,113k,121k,136k,494k,543k,288k,297k,307k
Belgium,101,2020,10.1k,20.2k,70.7k,101k,303k,505k,807k,1.41M,3.03M,3.23M,4.8M,5.21M,5.64M,5.89M,6.34M,6.89M,7.11M,7.6M,8.2M,8.99M,8.95M,9.17M,9.54M,9.6M,9.82M,10M,10.2M,10.4M
Benin,0,0,0,0,0,0,103,1550,3100,10.3k,15.5k,25.7k,51.3k,71.5k,91.6k,101k,126k,151k,161k,200k,288k,392k,438k,490k,617k,1.19M,1.3M,2.24M,2.3M,2.36M
Burkina Faso,0,0,0,0,0,0,100,1990,4980,6970,8950,18.8k,24.7k,47.3k,52.2k,63.1k,87.5k,107k,135k,171k,375k,482k,617k,1.55M,1.65M,2.54M,2.6M,3.07M,3.16M,3.25M
Bangladesh,0,0,0,0,0,0,,902,4520,45.3k,90.7k,169k,185k,221k,273k,336k,1.41M,2.57M,3.61M,4.52M,5.46M,6.72M,7.55M,10.1M,21.5M,22.5M,28.5M,24M,24.2M,21M
Bulgaria,0,0,0,201,1660,10k,60.1k,100k,150k,235k,430k,604k,714k,940k,1.4M,1.54M,2.07M,2.55M,2.98M,3.36M,3.43M,3.54M,3.81M,3.87M,4.02M,4.08M,4.28M,4.5M,4.57M,4.76M
Bahrain,0,0,0,0,0,1950,4880,9790,19.8k,30k,40.9k,105k,133k,168k,178k,189k,271k,341k,579k,628k,682k,984k,1.14M,1.18M,1.21M,1.28M,1.4M,1.43M,1.55M,1.64M
Bahamas,0,0,0,0,0,2690,4960,3920,6790,11.1k,23.8k,35.7k,55.4k,62.6k,70.2k,81.2k,86.1k,91.1k,108k,118k,153k,234k,261k,264k,285k,292k,302k,324k,328k,331k
Bosnia and Herzegovina,0,0,0,0,0,0,569,2220,5370,7280,40.6k,45.1k,99.6k,149k,582k,803k,946k,1.05M,1.3M,1.41M,1.58M,1.61M,1.62M,1.72M,1.74M,1.8M,2.04M,2.17M,2.33M,2.31M
Belarus,0,0,0,0,49,294,2940,4910,7370,49.1k,184k,422k,872k,866k,861k,856k,1.54M,1.87M,2.17M,2.59M,3M,3.73M,4.42M,5.1M,5.57M,5.87M,6.72M,7.03M,7.48M,7.83M
Belize,0,0,0,0,0,94,1890,2860,4820,9740,14.7k,15.2k,14.9k,15.3k,27.1k,48.2k,69.9k,73.6k,80.7k,85.6k,90.9k,101k,105k,116k,137k,150k,164k,177k,180k,184k
Bolivia,0,0,0,0,0,5090,15.3k,35.5k,50.7k,81.1k,121k,182k,273k,312k,403k,483k,583k,1M,1.22M,1.66M,2.25M,3.06M,3.67M,3.9M,3.7M,3.87M,4.38M,4.91M,4.98M,5.05M
Brazil,0,4990,20k,40k,60.1k,170k,742k,1.31M,2.51M,3.51M,5.02M,8.02M,16.4M,24M,35.1M,39.1M,53M,58.7M,65M,76M,79.6M,90.2M,96.8M,103M,111M,119M,125M,140M,141M,142M
Barbados,0,0,0,0,0,21,1040,2100,5310,6430,10.8k,32.5k,76.1k,109k,137k,145k,153k,162k,172k,182k,184k,188k,202k,204k,214k,217k,227k,234k,234k,235k
Brunei,0,0,0,0,0,3020,10.1k,15.1k,20.1k,25k,30k,43.9k,53.2k,69.2k,107k,133k,156k,168k,175k,188k,206k,220k,240k,261k,282k,295k,378k,403k,406k,412k
Bhutan,0,0,0,0,0,0,,,,795,2370,5220,10.3k,15.3k,20.2k,25k,29.7k,39.4k,44k,48.6k,93.2k,99.8k,109k,159k,218k,290k,308k,359k,363k,367k
Botswana,0,0,0,0,0,948,2370,4740,9490,18.1k,47.7k,57.5k,57.7k,58k,58.3k,58.7k,78.8k,99k,120k,120k,119k,181k,326k,619k,767k,791k,850k,1.04M,1.06M,1.08M
Central African Republic,0,0,0,0,0,0,194,484,969,1460,1940,2920,4890,5880,8850,10.8k,12.8k,15.8k,42.7k,78.1k,87.7k,97.2k,133k,151k,161k,171k,182k,199k,202k,206k
Canada,99.4k,159k,259k,338k,687k,1.21M,1.99M,4.48M,7.47M,11M,15.7M,18.6M,19.2M,20.2M,21M,23M,23.6M,24.1M,25.6M,27.1M,27.4M,28.7M,29M,30.3M,31.1M,32.4M,33.2M,33.4M,33.7M,34M
Switzerland,39.6k,79.3k,119k,149k,189k,248k,320k,1.07M,1.76M,2.42M,3.36M,3.96M,4.43M,4.73M,4.97M,5.18M,5.65M,5.82M,6.04M,6.27M,6.55M,6.74M,6.82M,7M,7.17M,7.26M,7.47M,7.58M,7.65M,8M
Chile,0,0,5010,10k,20k,49.9k,99.7k,156k,249k,622k,2.55M,2.96M,3.47M,4.04M,4.51M,5.05M,5.64M,5.93M,6.23M,7.02M,7.68M,9M,9.58M,10.2M,10.9M,13.8M,15.2M,15.2M,15.4M,15.6M
China,0,0,0,2060,14.4k,61.5k,164k,409k,2.14M,9.08M,22.9M,34.3M,60.1M,81.5M,96.6M,113M,141M,215M,306M,393M,470M,527M,586M,637M,670M,708M,752M,772M,775M,779M
Cote d'Ivoire,0,0,0,0,0,28,1230,2850,9510,19k,38.1k,66.7k,85.8k,134k,153k,191k,286k,345k,373k,401k,554k,610k,1.08M,2.65M,4.37M,8.93M,9.82M,10.7M,11.7M,9.37M
Cameroon,0,0,0,0,0,0,,971,1950,19.5k,39.1k,44.1k,59k,98.7k,168k,249k,370k,549k,655k,760k,875k,1.05M,1.61M,2.21M,3.68M,4.82M,5.55M,5.7M,5.85M,6M
"Congo, Dem. Rep.",0,0,0,0,0,0,46,93,185,463,2780,5560,46.3k,69.4k,104k,130k,168k,216k,266k,350k,465k,801k,1.16M,1.57M,2.21M,2.9M,4.89M,7.02M,7.25M,7.48M
"Congo, Rep.",0,0,0,0,0,0,98,99,101,510,824,1040,5210,15.7k,37.8k,53k,75.2k,107k,172k,187k,214k,246k,275k,305k,337k,370k,405k,442k,454k,465k
Colombia,0,0,0,0,38.3k,68.5k,122k,208k,432k,662k,875k,1.15M,1.88M,3.07M,3.84M,4.69M,6.63M,9.53M,11.3M,13.4M,16.5M,18.4M,22.6M,24M,24.7M,26.6M,28M,30.5M,30.9M,32.7M
Comoros,0,0,0,0,0,0,,0,195,784,1470,2460,3160,4950,7930,12.2k,13.8k,16k,19.7k,23.6k,35.2k,38.9k,43.3k,48.2k,53k,58k,63.2k,69k,70.6k,72.1k
Cape Verde,0,0,0,0,0,0,,974,1950,4880,7800,11.7k,15.6k,19.5k,24.3k,28.1k,31.9k,39.4k,67.3k,102k,148k,160k,176k,192k,209k,224k,267k,307k,316k,320k
Costa Rica,0,0,37,2750,9680,14.8k,30.6k,61k,101k,152k,230k,386k,816k,847k,879k,946k,1.09M,1.25M,1.44M,1.55M,1.67M,1.82M,2.23M,2.18M,2.54M,2.9M,3.23M,3.53M,3.7M,4.1M
Cuba,0,0,0,0,0,10,3500,7500,25k,34.9k,60.2k,121k,422k,589k,946k,1.1M,1.26M,1.32M,1.45M,1.61M,1.78M,1.8M,2.39M,3.15M,3.29M,4.22M,4.87M,6.48M,6.48M,7.01M
Cyprus,0,0,401,462,929,3510,5880,39k,80.8k,105k,144k,181k,277k,299k,342k,337k,375k,434k,458k,547k,590k,640k,689k,749k,799k,833k,888k,953k,1M,1.03M
Czech Republic,0,0,0,60.2k,130k,151k,201k,301k,402k,704k,1.01M,1.51M,2.45M,3.51M,3.64M,3.62M,4.94M,5.38M,6.56M,6.76M,7.25M,7.45M,7.77M,7.85M,7.86M,8.02M,8.12M,8.38M,8.61M,8.64M
Germany,99.5k,199k,348k,373k,746k,1.49M,2.48M,5.46M,8.04M,17M,24.6M,25.8M,39.8M,45.6M,52.8M,56.1M,58.8M,61.1M,63.2M,63.9M,66.3M,65.7M,66.7M,68.3M,70.2M,71.6M,69.2M,69.8M,74.6M,73.6M
Djibouti,0,0,0,0,0,101,201,548,644,740,1400,2520,3640,4760,6030,7470,10.1k,13k,18.4k,33.1k,54.6k,59.8k,71.8k,83.9k,96.3k,109k,122k,526k,534k,542k
Dominica,0,0,0,0,0,390,827,823,2050,2050,6140,9230,12.9k,16.6k,21.3k,27.2k,27.9k,28.5k,29.2k,29.8k,33.6k,34.5k,35.3k,36.2k,40.9k,46.3k,47.8k,49.8k,49.9k,50k
Denmark,5000,10k,20k,30k,70.1k,200k,300k,601k,1.2M,1.63M,2.09M,2.3M,3.45M,4.11M,4.37M,4.49M,4.72M,4.65M,4.67M,4.8M,4.93M,5.01M,5.18M,5.34M,5.44M,5.48M,5.54M,5.57M,5.62M,5.66M
Dominican Republic,0,0,0,0,0,1350,5960,11.5k,19.2k,92.2k,314k,381k,595k,699k,796k,1.04M,1.37M,1.65M,1.97M,2.65M,3.04M,3.73M,4.2M,4.61M,5.04M,5.57M,6.64M,7.1M,7.95M,8.04M
Algeria,0,0,0,0,102,509,509,3050,6110,61.1k,153k,203k,507k,708k,1.52M,1.94M,2.48M,3.23M,3.54M,3.97M,4.5M,5.46M,6.8M,8.58M,11.5M,15.2M,17.4M,19.7M,25.2M,25.7M
Ecuador,0,0,548,1800,3900,5020,10.1k,13.2k,15.3k,102k,185k,345k,560k,596k,657k,829k,1.01M,1.54M,2.73M,3.63M,4.36M,4.78M,5.44M,6.33M,7.27M,7.93M,8.92M,9.61M,9.78M,9.95M
Egypt,0,0,0,584,3900,19.5k,39.1k,58.7k,98k,196k,441k,589k,1.94M,2.94M,8.84M,9.63M,10.5M,12.5M,14.3M,16.2M,17.9M,21.6M,22.8M,26M,30.6M,35M,39M,43.4M,46.2M,57.5M
Eritrea,0,0,0,0,0,0,0,198,194,570,3130,3750,5630,5910,6180,6420,6630,12.3k,14.4k,16.8k,19.3k,22.5k,26k,29.5k,32.8k,36.2k,39.7k,44.7k,45.2k,45.8k
Spain,5050,10.1k,30.3k,50.5k,111k,152k,532k,1.12M,1.75M,2.87M,5.56M,7.5M,8.55M,17M,19.1M,21.1M,22.5M,25M,27.5M,29.1M,30.9M,31.6M,32.9M,33.6M,35.6M,36.7M,37.6M,39.5M,40.2M,42.4M
Estonia,0,0,996,4480,16.9k,39.8k,50k,80.4k,152k,204k,400k,439k,574k,622k,725k,833k,857k,890k,946k,969k,987k,1.02M,1.04M,1.06M,1.11M,1.16M,1.15M,1.16M,1.18M,1.19M
Ethiopia,0,0,0,0,0,10,1000,3020,6040,8070,10.1k,25.3k,50.8k,76.4k,115k,168k,244k,298k,373k,460k,657k,992k,2.69M,4.39M,7.55M,14M,15.9M,19.8M,20.3M,20.9M
Finland,20k,70.1k,95.2k,130k,251k,712k,862k,1M,1.31M,1.67M,1.93M,2.24M,3.25M,3.62M,3.79M,3.92M,4.2M,4.28M,4.45M,4.41M,4.66M,4.78M,4.87M,4.98M,4.73M,4.74M,4.82M,4.82M,4.91M,4.96M
Fiji,0,0,0,50,61,71,505,1770,5070,7600,12.1k,15.1k,50.2k,54.9k,60.6k,69.5k,79.5k,91.1k,110k,145k,172k,242k,292k,305k,324k,369k,406k,438k,441k,445k
France,29.9k,79.7k,159k,339k,518k,947k,1.5M,2.48M,3.69M,5.36M,8.44M,15.6M,18M,21.8M,23.8M,26.2M,28.8M,40.9M,44M,44.8M,48.6M,49.2M,51.8M,52.3M,53.8M,50.3M,51.3M,52.2M,53.3M,54.3M
"Micronesia, Fed. Sts.",0,0,0,0,0,0,301,619,2010,3020,4010,5000,5960,9870,11.7k,12.6k,13.4k,14.2k,15k,15.8k,20.6k,23.6k,27.1k,29.4k,31.9k,34.3k,36.8k,39.4k,39.8k,40.2k
Gabon,0,0,0,0,0,0,0,548,1990,2990,14.9k,17k,25k,35.1k,40.3k,68k,78.5k,84.9k,114k,149k,211k,303k,420k,555k,717k,892k,965k,1.28M,1.31M,1.35M
UK,49.9k,99.8k,150k,299k,599k,1.1M,2.4M,4.31M,8M,12.5M,15.8M,19.8M,33.5M,38.6M,39.3M,42.2M,41.9M,46.1M,48.7M,52.5M,53.9M,54.7M,56.4M,58.4M,59.9M,60.6M,62.8M,63.1M,63.7M,62.5M
Georgia,0,0,0,0,0,589,1940,2870,4710,18.6k,21.1k,42.6k,67.6k,108k,164k,256k,315k,344k,415k,827k,1.1M,1.29M,1.5M,1.75M,1.78M,1.91M,2.35M,2.39M,2.56M,2.75M
Ghana,0,0,0,0,0,59,986,4930,5920,19.7k,29.6k,39.5k,168k,248k,365k,399k,609k,884k,1.01M,1.31M,1.93M,2.28M,2.76M,3.99M,6.95M,6.96M,9.87M,11.4M,11.6M,11.9M
Guinea,0,0,0,0,10,49,145,291,488,4900,7860,14.8k,34.5k,39.5k,45.4k,49.4k,59.3k,74.2k,89.6k,93.7k,102k,208k,330k,490k,714k,937k,1.15M,2.17M,2.23M,2.3M
Gambia,0,0,0,0,0,104,413,616,2550,9140,12.1k,18.2k,25.2k,35.3k,49.5k,58.6k,83.4k,102k,116k,133k,165k,201k,237k,275k,315k,344k,398k,439k,452k,466k
Guinea-Bissau,0,0,0,0,0,0,,186,278,1390,2760,3680,12.8k,17.4k,23.8k,25.6k,28.3k,31.1k,34.1k,34.2k,37.3k,41.8k,46.4k,51.1k,56.2k,61.5k,67k,71.9k,73.7k,75.5k
Equatorial Guinea,0,0,0,0,0,0,,222,527,567,802,1040,2120,3570,6050,8620,10k,12.8k,15.7k,19.2k,56.6k,113k,144k,177k,212k,249k,289k,331k,343k,356k
Greece,0,5030,5030,20.1k,40.3k,80.5k,151k,202k,353k,758k,1.01M,1.22M,1.64M,2M,2.41M,2.69M,3.61M,3.99M,4.22M,4.65M,4.83M,5.59M,5.94M,6.43M,6.76M,7.12M,7.33M,7.46M,7.68M,7.93M
Grenada,0,0,0,0,0,0,301,1010,1520,2530,4180,5290,15.3k,19.4k,20.4k,21.4k,22.5k,23.4k,24.4k,25.4k,28.7k,32k,34.4k,37.9k,56.2k,59k,61.6k,65.5k,65.8k,66.2k
Guatemala,0,0,0,0,0,312,2080,10.4k,51.9k,67.5k,83k,207k,414k,569k,653k,746k,871k,1M,1.16M,1.33M,1.54M,1.84M,2.44M,3.07M,3.73M,4.68M,5.72M,11M,11.2M,11.4M
Guyana,0,0,0,0,0,0,501,999,1990,29.7k,49.4k,98.4k,98.4k,98.4k,98.5k,98.5k,98.6k,103k,136k,179k,224k,226k,230k,235k,244k,261k,275k,289k,291k,292k
"Hong Kong, China",0,7020,49.8k,79.1k,167k,196k,294k,663k,933k,1.38M,1.84M,2.58M,2.89M,3.51M,3.8M,3.85M,4.14M,4.43M,4.59M,4.81M,5.02M,5.06M,5.14M,5.26M,5.7M,6.1M,6.34M,6.53M,6.59M,6.82M
Honduras,0,0,0,0,0,2100,2570,10.3k,18.7k,36.7k,79.1k,95.6k,180k,341k,408k,485k,595k,734k,766k,799k,922k,1.35M,1.57M,1.57M,1.71M,2.47M,2.73M,2.99M,3.04M,3.09M
Croatia,0,0,0,4570,12.5k,23.7k,39.3k,78.4k,147k,196k,294k,510k,781k,998k,1.36M,1.45M,1.66M,1.81M,1.93M,2.2M,2.45M,2.49M,2.66M,2.85M,2.92M,2.95M,3.06M,2.81M,3.02M,3.27M
Haiti,0,0,0,0,0,0,590,601,1960,5880,19.6k,29.3k,78.2k,147k,489k,586k,635k,684k,733k,794k,833k,909k,1M,1.1M,1.2M,1.3M,1.33M,1.35M,3.61M,3.66M
Hungary,0,351,5010,20k,50.1k,70.1k,100k,200k,400k,600k,715k,1.48M,1.69M,2.19M,2.81M,3.93M,4.73M,5.34M,6.1M,6.17M,6.45M,6.73M,6.96M,7.14M,7.42M,7.12M,7.73M,7.47M,7.38M,7.78M
Indonesia,0,0,0,0,2060,51.4k,113k,395k,525k,927k,1.96M,4.33M,4.64M,5.26M,5.81M,8.15M,10.9M,13.4M,18.6M,16.5M,26.4M,30.1M,36.1M,37.6M,43.7M,56.8M,66.6M,85.5M,106M,129M
India,0,0,1010,2020,10.1k,253k,455k,708k,1.42M,2.84M,5.57M,7.1M,16.8M,18.7M,22.3M,27.4M,32.7M,46.7M,52.6M,62.3M,92.6M,126M,159M,193M,272M,223M,291M,461M,466M,471M
Ireland,0,2000,5990,9970,19.9k,39.8k,79.6k,149k,299k,408k,675k,889k,1.01M,1.37M,1.5M,1.72M,2.32M,2.64M,2.89M,3.03M,3.18M,3.44M,3.54M,3.61M,3.86M,3.88M,3.99M,4M,4.07M,4.13M
Iran,0,0,0,0,247,2570,9860,29.5k,63.9k,245k,613k,986k,3.11M,4.72M,5.16M,5.65M,6.18M,6.76M,8.67M,10.1M,11.7M,14.2M,17.2M,22.9M,30.5M,35.6M,42.3M,51.7M,57.3M,58M
Iraq,0,0,0,0,0,0,,,,,,24.2k,125k,154k,237k,242k,261k,260k,284k,307k,744k,1.54M,2.26M,3.05M,4.55M,20.6M,7.77M,18.5M,19M,19.4M
Iceland,0,1300,4000,7010,18k,30k,40k,74.9k,99.8k,115k,125k,140k,226k,239k,244k,257k,268k,276k,283k,294k,299k,307k,313k,316k,323k,324k,326k,329k,333k,336k
Israel,4930,9850,14.8k,19.7k,29.5k,49k,118k,245k,587k,783k,1.24M,1.05M,1.1M,1.23M,1.46M,1.65M,1.86M,3.3M,4.17M,4.54M,4.96M,5.16M,5.39M,5.43M,5.89M,6.17M,6.46M,6.73M,6.84M,7.39M
Italy,10k,20k,40k,70k,110k,300k,584k,1.3M,2.59M,8.15M,13.1M,15.5M,16M,16.7M,19.3M,20.4M,22.2M,24M,26.2M,28.9M,31.8M,32.4M,33.4M,35.2M,33.6M,35.2M,37.2M,38.3M,45.1M,45M
Jamaica,0,0,0,0,924,2770,15.1k,20.6k,51.6k,62k,82.7k,103k,164k,211k,273k,351k,452k,584k,657k,679k,778k,1.06M,960k,1.06M,1.16M,1.22M,1.29M,1.61M,1.62M,1.62M
Jordan,0,0,0,0,0,1070,2130,29.1k,64.6k,127k,134k,246k,320k,460k,651k,746k,831k,1.25M,1.51M,1.79M,1.98M,2.67M,2.99M,3.53M,4.12M,5.57M,5.95M,6.54M,6.66M,6.75M
Japan,25.3k,50.5k,121k,504k,1.01M,2.01M,5.54M,11.6M,17.1M,27.2M,38.2M,49.2M,59.6M,62M,80M,85.9M,88.2M,95.5M,96.9M,100M,101M,102M,102M,113M,114M,117M,119M,108M,108M,107M
Kazakhstan,0,0,0,0,83,1790,4980,9950,19.9k,69.7k,99.8k,150k,251k,302k,404k,456k,508k,631k,1.74M,2.92M,5.14M,8.34M,10.4M,10.8M,11.4M,12.4M,13.3M,13.8M,14.5M,15.2M
Kenya,0,0,0,0,0,202,2530,10.1k,15.2k,35.5k,102k,204k,408k,1.02M,1.08M,1.14M,1.36M,1.7M,2.07M,2.5M,3.03M,3.8M,4.66M,5.92M,7.71M,7.94M,8.14M,8.95M,9.16M,11.9M
Kyrgyz Republic,0,0,0,0,0,0,,,3490,9950,51.2k,149k,150k,196k,257k,535k,631k,727k,825k,854k,884k,966k,1.11M,1.32M,1.65M,1.8M,2.25M,2.35M,2.4M,2.44M
Cambodia,0,0,0,0,0,0,,660,1890,3800,5720,9550,28.7k,33.5k,39.3k,42.1k,63.1k,67k,70.8k,74.7k,180k,451k,730k,1.02M,2.14M,999k,5.11M,5.19M,6.5M,6.59M
Kiribati,0,0,0,0,0,0,,,503,1010,1510,2010,2180,2670,3170,3690,4250,5790,6910,9050,9340,10.5k,11.4k,12.4k,13.4k,14.4k,15.4k,16.6k,16.9k,17.1k
St. Kitts and Nevis,0,0,0,0,0,0,826,968,1450,1920,2590,3440,9550,10.5k,11.5k,15.9k,18.2k,20.8k,23.7k,27.1k,30.9k,31.2k,31.9k,32.5k,34.5k,38.8k,39.7k,42k,42.3k,42.6k
