country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kuwait,70,79,84,90,89,91,93,95,97,98,71,80,89,97,99,99,99,99,99,96,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
Lao,,7,7,7,7,8,10,15,27,29,32,47,46,46,73,68,73,69,71,71,69,60,65,65,60,65,61,56,68,67,76,78,85,87,89,89,89,91,92,85,90
Lebanon,,4,9,8,16,23,30,46,63,79,82,86,90,91,93,93,94,92,89,86,83,80,77,74,75,77,78,80,81,82,83,83,84,85,85,85,85,85,85,85,74
Liberia,,,,,,,,,,,,,,,,,,,,82,78,73,69,64,60,76,77,77,85,87,73,85,85,87,73,74,81,87,92,84,85
Libya,88,78,89,84,85,87,92,95,92,90,90,95,99,99,99,99,97,97,97,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,74,74,74
St. Lucia,58,65,81,81,84,99,91,89,87,99,94,97,99,97,99,98,95,99,90,99,91,99,98,95,99,97,94,99,99,99,97,99,99,99,99,99,99,88,99,96,89
Sri Lanka,61,58,65,64,67,71,79,79,85,90,86,88,88,90,89,93,92,98,94,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Lesotho,81,81,84,87,89,91,88,84,86,87,89,90,92,93,95,96,95,94,93,92,88,83,90,96,96,96,95,95,95,92,94,96,95,98,97,95,96,96,96,96,87
Lithuania,,,,,,,,,,,,,94,98,96,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,97,98,97,96,97,96
Luxembourg,,,,90,90,90,90,95,90,90,90,91,93,94,95,97,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Latvia,,,,,,,,,,,,,95,91,99,99,99,99,99,99,99,99,99,98,99,99,99,98,96,96,95,93,94,96,95,96,98,98,98,99,99
Morocco,,,50,62,70,77,83,92,92,91,96,96,97,99,97,96,96,95,93,93,97,96,94,92,97,98,97,96,99,99,99,99,99,99,99,99,99,99,99,99,
Monaco,,,,,,,,,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
Moldova,,,,,,,,,,,,,93,92,94,97,99,98,98,99,99,99,99,99,99,99,99,98,98,98,98,98,99,96,97,97,97,96,96,97,95
Madagascar,21,26,22,31,28,31,49,54,70,72,67,75,77,77,77,72,67,67,70,72,72,73,73,77,85,92,95,94,83,78,76,82,74,76,71,68,74,74,74,78,76
Maldives,7,39,34,37,40,47,54,62,98,98,99,99,99,98,98,99,99,99,99,98,99,98,99,98,98,98,99,98,98,99,97,98,99,99,99,99,99,99,99,99,99
Mexico,91,99,99,88,99,67,96,97,95,96,75,89,94,93,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,91,97,98,99,94,99,86,89
Marshall Islands,,,,,,,,33,92,92,92,74,86,88,96,71,98,94,93,93,94,99,90,93,92,93,97,94,97,99,99,89,97,93,89,99,94,92,98,89,
North Macedonia,,,,,,,,,,,,,,99,91,97,98,98,96,98,97,97,98,97,96,99,96,96,98,98,99,98,98,98,99,94,99,97,94,94,
Mali,,19,23,26,30,33,37,51,64,85,82,68,70,74,75,76,80,84,79,78,69,75,82,79,76,83,90,86,86,84,82,84,77,70,73,78,82,83,83,83,78
Malta,,75,80,85,90,84,86,87,87,88,86,90,92,90,88,92,96,92,92,93,94,95,95,94,94,94,94,82,86,86,85,96,99,99,99,97,97,98,98,98,99
Myanmar,9,15,20,28,36,45,28,54,60,66,95,69,77,80,83,90,92,94,95,90,88,77,84,86,92,86,85,89,88,93,93,93,87,86,92,94,91,91,93,91,91
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,98,96,97,97,97,94,95,94,89,87,93,85,84
Mongolia,86,86,86,86,86,86,86,86,87,92,92,85,84,84,90,94,93,96,95,97,97,98,98,98,99,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99
Mozambique,,56,58,59,50,47,45,52,49,53,59,63,64,66,78,78,78,80,81,83,84,86,87,90,90,90,90,90,90,90,90,91,92,93,94,94,94,94,93,93,91
Mauritania,,57,61,66,70,74,73,77,79,79,79,80,81,84,82,80,79,78,77,75,78,95,99,96,94,91,86,92,89,81,85,86,95,95,93,85,86,90,90,90,80
Mauritius,90,87,96,91,88,91,97,96,88,88,87,91,88,89,89,93,90,90,90,86,88,93,88,99,99,99,99,98,99,99,99,99,99,99,98,99,98,99,99,99,96
Malawi,58,86,87,81,74,87,87,92,90,96,97,96,98,96,94,97,95,99,99,87,83,93,79,91,97,99,99,95,97,95,97,99,99,96,97,90,86,89,92,95,94
Malaysia,94,91,95,94,95,95,96,98,99,99,99,99,99,98,97,98,98,98,98,99,99,98,98,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Namibia,,,,,,,,,,,,91,92,92,99,92,79,69,85,80,80,79,81,92,94,95,88,95,88,85,88,89,90,94,97,94,89,94,94,94,
Niger,,28,28,28,28,28,28,28,27,32,50,38,38,34,32,53,53,48,48,47,50,53,56,58,61,64,69,73,78,86,81,75,85,80,87,94,91,92,87,81,94
Nigeria,,23,21,19,16,28,40,47,54,61,80,60,57,52,55,44,43,38,49,46,44,41,40,42,45,49,52,54,65,76,62,57,51,51,51,53,64,67,67,67,67
Nicaragua,34,66,83,89,98,99,99,99,91,94,90,85,91,91,92,93,94,95,92,99,96,99,98,94,88,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98
Netherlands,96,96,97,97,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,97,97,97,97,98,98,96,96,97,97,97,97,97,97,97,96,96,95,94,93,94,
Norway,,,,90,90,90,87,87,87,84,87,96,98,94,94,97,97,96,95,94,93,93,95,94,94,93,95,95,95,96,97,95,95,95,94,95,96,96,96,97,97
Nepal,22,32,59,53,58,67,67,62,66,70,74,74,75,75,76,76,81,86,81,93,84,84,85,91,85,87,93,89,87,94,94,97,96,97,99,94,93,95,96,96,92
Nauru,,,,,81,81,87,93,95,96,93,90,90,99,81,78,78,99,90,95,93,99,99,97,93,90,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
New Zealand,80,77,74,73,84,84,84,74,75,83,90,82,82,85,87,89,94,99,87,89,90,90,90,90,89,89,89,88,90,98,93,95,93,93,93,93,93,94,96,92,92
Oman,51,54,77,77,79,93,95,97,96,98,98,96,99,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
Pakistan,6,11,12,35,55,62,69,72,77,80,80,80,80,77,75,73,59,62,66,70,74,78,82,80,78,78,77,77,75,74,74,83,84,84,85,86,86,86,90,93,91
Panama,99,98,83,85,89,94,92,90,92,87,97,87,84,92,95,99,99,99,99,99,99,99,99,99,99,99,98,97,98,99,99,99,98,95,99,99,99,99,99,99,99
Peru,57,63,65,61,64,63,54,61,70,62,83,78,85,88,91,98,99,98,96,99,98,97,95,95,96,95,96,96,97,97,95,96,95,95,94,92,90,85,85,94,
Philippines,56,61,66,69,71,76,84,90,95,96,96,97,94,91,86,82,86,91,92,92,92,92,85,87,92,92,92,92,93,90,83,91,89,87,79,82,90,83,79,77,72
Palau,,,,,,,98,98,99,99,99,98,99,99,73,99,99,91,96,96,96,98,99,99,99,98,98,95,97,79,80,98,91,99,99,97,98,98,98,98,96
Papua New Guinea,62,64,50,58,66,66,76,74,80,82,92,89,82,94,85,91,80,88,86,82,88,81,84,89,89,90,90,81,80,89,88,91,91,93,84,67,72,62,52,52,52
Poland,96,96,95,95,95,95,95,96,96,96,97,95,95,95,96,98,97,98,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,96,95,95,
North Korea,50,52,51,52,67,65,62,86,98,99,99,99,99,99,93,88,82,76,82,87,93,98,99,99,99,97,98,99,98,98,99,99,99,99,99,99,99,99,99,98,99
Portugal,73,75,78,79,79,82,81,83,86,96,89,96,99,95,97,96,99,96,97,97,96,97,98,99,95,94,99,98,98,98,98,97,99,99,99,98,98,98,99,99,
Paraguay,31,42,47,55,80,99,90,81,70,66,75,78,87,96,82,82,83,83,84,85,92,90,87,91,97,98,99,98,94,91,93,94,93,91,96,96,99,96,94,89,84
Palestine,,,,,,,,,,,,,,,,,,,,,95,98,97,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Qatar,61,43,44,69,73,76,84,86,85,81,97,98,99,99,96,96,98,99,99,99,99,99,99,99,99,99,99,97,98,99,99,99,99,99,99,99,99,99,99,99,98
Romania,,,,83,86,95,93,95,96,96,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,98,98,98,90,97,96,96,97
Russia,,,,,,,,,,,,,86,88,92,92,93,94,95,97,97,97,98,98,98,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98
Rwanda,,51,50,59,66,83,92,92,91,93,92,94,94,83,32,89,93,96,95,94,90,77,88,96,89,95,99,98,97,99,99,99,99,99,99,99,99,98,99,98,94
Saudi Arabia,41,53,62,72,88,89,90,91,93,96,92,95,91,94,95,96,93,92,95,93,95,97,98,97,97,97,97,98,98,98,98,98,99,99,98,98,98,98,98,97,96
Sudan,2,3,3,5,8,12,22,43,54,75,77,78,68,66,60,63,71,70,61,66,62,67,65,69,74,78,78,84,88,82,90,93,92,93,97,93,96,97,94,94,92
Senegal,,,,,,,92,92,91,90,90,80,80,80,80,91,81,81,81,90,89,89,70,77,95,92,94,96,98,97,97,97,97,97,95,95,97,99,94,96,95
Singapore,85,88,87,88,93,93,99,98,99,99,99,99,99,98,97,98,98,98,98,99,99,98,98,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,98,98,
Solomon Islands,65,43,36,39,61,50,47,66,79,92,87,83,75,71,76,77,98,73,75,99,99,94,87,93,99,96,99,98,92,92,91,97,92,85,81,87,94,84,93,94,94
Sierra Leone,,,,,,,,,,,,,,,,,,,,73,74,63,76,89,86,85,83,82,91,96,97,97,98,99,90,90,95,92,93,95,91
El Salvador,56,47,46,48,41,71,51,57,63,73,98,67,62,86,90,99,98,98,99,99,99,95,93,94,94,99,98,99,99,99,96,98,95,94,96,99,95,89,85,87,79
San Marino,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,96,96,95,96,94,94,92,92,90,92,89,86,86,86,86,89,91,88,90
Somalia,9,3,8,7,17,35,28,33,39,31,31,31,37,42,48,46,43,37,54,71,69,70,60,65,50,50,40,40,40,43,49,49,47,47,47,47,47,47,47,47,47
Serbia,,,,,,,,,,,,,97,97,97,97,97,96,93,92,98,93,95,96,97,98,99,99,99,98,99,99,98,97,98,98,98,97,98,99,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,67,58,55,55,52,52,52,52,52
Sao Tome and Principe,,95,90,86,82,75,99,88,88,94,99,99,83,77,86,95,85,73,80,81,87,92,96,99,99,98,98,98,99,99,99,99,99,97,95,97,96,95,96,95,
Suriname,25,39,61,85,80,85,80,71,83,73,83,84,74,76,74,85,87,81,90,85,84,82,74,75,86,91,84,85,86,88,94,83,79,81,76,78,77,76,81,77,51
Slovak Republic,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,97,98,98
Slovenia,,,,,,,,,,,,,98,99,99,99,98,97,98,98,98,98,98,98,99,99,99,98,98,98,96,96,96,95,95,96,94,94,94,95,95
Sweden,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,97,98,98,97,97,98,97
Eswatini,,59,66,72,73,79,91,94,95,96,96,80,97,98,99,99,85,92,92,92,92,93,99,99,99,99,99,99,99,99,99,98,99,99,99,98,97,98,98,98,97
Seychelles,,67,83,98,95,92,95,95,94,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Syria,35,36,37,45,49,53,98,71,87,98,92,95,92,91,91,91,91,91,91,91,91,91,90,90,90,90,91,93,93,95,97,90,82,84,81,66,72,78,79,84,74
Chad,,,,1,10,15,24,32,38,59,59,40,34,34,43,43,39,45,45,45,49,52,46,40,41,41,56,44,30,46,58,54,63,60,58,70,59,59,46,51,60
Togo,,44,48,51,55,54,53,95,91,94,99,96,92,89,86,83,79,76,70,81,84,83,81,79,91,96,96,91,92,91,97,97,97,97,84,93,93,89,97,98,96
Thailand,68,71,73,75,76,80,83,93,91,98,99,99,99,99,99,98,98,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
Tajikistan,,,,,,,,,,,,,88,81,96,96,99,99,98,98,98,96,97,98,98,97,96,90,89,93,98,98,97,98,98,98,98,98,99,98,98
Turkmenistan,,,,,,,,,,,,,97,94,97,96,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,75,72,72,70,74,74,85,78,79,79,86,86,79,79,86,95,95,95,88
Tonga,99,86,98,83,78,99,98,99,95,97,99,99,99,97,99,99,99,99,99,99,99,96,95,99,99,99,99,99,99,99,99,99,95,99,99,99,99,99,99,99,99
Trinidad and Tobago,38,62,59,61,66,75,71,80,83,77,87,93,87,87,86,90,90,91,91,90,90,91,96,92,95,95,92,91,91,94,92,92,92,94,96,96,97,94,99,99,
Tunisia,,,87,88,89,90,92,93,95,96,96,96,97,97,97,97,97,97,96,99,98,99,98,99,99,99,99,99,99,99,98,98,96,98,94,94,93,92,92,95,93
Turkey,63,69,64,65,71,76,82,87,97,95,93,91,89,90,91,90,89,89,91,93,96,95,89,97,97,98,98,96,97,97,97,98,97,98,96,97,98,96,98,99,98
Tuvalu,99,89,79,99,90,97,92,86,95,98,99,95,97,87,99,94,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99
Tanzania,72,74,64,83,73,90,97,94,93,92,85,95,99,94,92,96,82,85,83,87,86,91,91,97,95,91,93,90,89,93,99,99,99,99,99,97,95,93,91,91,87
Uganda,,22,23,28,32,37,51,61,70,72,75,77,79,82,84,83,82,82,75,80,82,83,85,87,88,90,83,87,86,90,86,97,95,93,91,95,94,94,93,93,91
Ukraine,,,,,,,,,,,,,93,94,97,98,99,99,98,99,99,99,99,99,99,97,99,98,95,94,92,90,95,95,57,57,75,86,91,93,93
Uruguay,59,76,76,99,93,92,92,98,98,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,98,98,98,99,99
USA,96,97,97,98,98,97,97,97,98,94,90,87,83,88,94,95,95,96,96,96,94,94,94,96,96,96,96,96,96,95,95,96,94,94,95,95,95,94,94,95,95
Uzbekistan,,,,,,,,,,,,,98,98,93,99,97,98,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99
St. Vincent and the Grenadines,26,33,99,84,92,90,95,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,99,99,99,99,99,99,99,99
Venezuela,95,77,76,82,92,89,86,63,76,88,82,90,85,81,95,91,90,89,92,98,99,98,90,91,96,95,83,87,93,91,92,95,96,95,97,99,97,96,92,93,82
Vietnam,,,1,4,48,62,55,59,79,94,90,91,91,94,96,96,96,96,96,95,98,98,97,99,97,95,95,94,97,97,98,98,98,98,97,97,99,97,97,96,97
Vanuatu,,32,61,58,64,83,75,79,73,80,96,99,84,96,82,74,72,78,78,79,79,79,80,80,80,81,81,83,85,86,88,90,92,93,95,95,94,95,94,97,78
Samoa,72,84,96,99,97,97,97,98,97,82,97,95,91,94,97,96,98,99,99,99,98,98,99,90,93,86,84,91,98,92,87,95,90,90,89,84,80,83,62,90,99
Yemen,9,12,13,15,16,20,23,30,52,75,95,63,54,57,41,60,58,54,68,79,82,78,73,66,74,80,78,79,78,76,77,69,68,73,73,69,73,68,65,73,73
South Africa,,,,80,76,77,70,75,70,84,79,85,85,95,95,95,95,97,94,92,89,86,84,81,78,82,84,85,84,82,81,84,86,88,93,86,85,84,83,86,86
Zambia,,72,70,68,71,92,95,97,97,97,97,95,94,92,98,97,96,95,95,95,94,94,94,93,93,92,92,93,91,94,96,92,92,95,99,97,99,99,94,95,96
Zimbabwe,,64,65,67,69,78,94,94,89,90,91,91,91,95,95,96,96,92,88,86,84,82,80,78,76,80,84,87,91,90,99,98,98,95,99,90,95,95,95,95,88
